qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|F4BX03|F4BX03_METSG	UPIMAPI	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	6.3.4.4	PF00709;
tr|F4BWW0|F4BWW0_METSG	UPIMAPI	Imidazoleglycerol-phosphate dehydratase	imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; L-histidine biosynthetic process [GO:0000105]		PF00475;
tr|F4BWV9|F4BWV9_METSG	UPIMAPI	S-layer-related duplication domain protein	membrane [GO:0016020]		PF07752;
tr|F4BWV6|F4BWV6_METSG	UPIMAPI	Pyridoxamine 5'-phosphate oxidase-related, FMN-binding protein			PF01243;
tr|F4BWV2|F4BWV2_METSG	UPIMAPI	Transcriptional regulator GfcR	DNA binding [GO:0003677]; orotate phosphoribosyltransferase activity [GO:0004588]; pyrimidine nucleobase biosynthetic process [GO:0019856]; regulation of gene expression [GO:0010468]; UMP biosynthetic process [GO:0006222]		PF00156;
tr|F4BWT9|F4BWT9_METSG	UPIMAPI	CBS domain-containing protein	methionine biosynthetic process [GO:0009086]		PF00571;
tr|F4BWT8|F4BWT8_METSG	UPIMAPI	CBS domain protein	methionine biosynthetic process [GO:0009086]		PF00571;
tr|F4BWT7|F4BWT7_METSG	UPIMAPI	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	IMP dehydrogenase activity [GO:0003938]; methionine biosynthetic process [GO:0009086]	1.1.1.205	PF00571;
tr|F4BWT6|F4BWT6_METSG	UPIMAPI	Inosine 5'-monophosphate dehydrogenase	methionine biosynthetic process [GO:0009086]		PF00571;
tr|F4BWT4|F4BWT4_METSG	UPIMAPI	Uncharacterized protein			PF21571;PF21570;PF04455;
tr|F4BWQ0|F4BWQ0_METSG	UPIMAPI	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; methionine biosynthetic process [GO:0009086]		PF00571;PF03444;
tr|F4BWP8|F4BWP8_METSG	UPIMAPI	Lipoprotein			
tr|F4BWP7|F4BWP7_METSG	UPIMAPI	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]; AMP salvage [GO:0044209]	2.7.4.3	PF00406;PF05191;
tr|F4BWP4|F4BWP4_METSG	UPIMAPI	Hsp20/alpha crystallin family protein			PF00011;
tr|F4BWN6|F4BWN6_METSG	UPIMAPI	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; tRNA binding [GO:0000049]; lysyl-tRNA aminoacylation [GO:0006430]	6.1.1.6	PF01921;
tr|F4BWM9|F4BWM9_METSG	UPIMAPI	Acetyl-CoA decarbonylase/synthase complex subunit beta (ACDS complex subunit beta) (EC 2.3.1.169) (ACDS complex acyltransferase)	acetyltransferase activity [GO:0016407]; anaerobic carbon-monoxide dehydrogenase activity [GO:0043885]; iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]; acetyl-CoA metabolic process [GO:0006084]; methanogenesis, from acetate [GO:0019385]	2.3.1.169	PF19436;PF03598;
tr|F4BWL4|F4BWL4_METSG	UPIMAPI	ABC transporter, extracellular solute-binding protein, family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|F4BWL2|F4BWL2_METSG	UPIMAPI	Flavin reductase like domain-containing protein	FMN binding [GO:0010181]		PF01613;
tr|F4BWK7|F4BWK7_METSG	UPIMAPI	Periplasmic binding protein			PF01497;
tr|F4BWK6|F4BWK6_METSG	UPIMAPI	Lipoprotein			
tr|F4BWJ6|F4BWJ6_METSG	UPIMAPI	Peptidase families S8 and S53 protein	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00082;
tr|F4BWH0|F4BWH0_METSG	UPIMAPI	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	cytosol [GO:0005829]; diaminopimelate epimerase activity [GO:0008837]; lysine biosynthetic process via diaminopimelate [GO:0009089]	5.1.1.7	PF01678;
tr|F4BWF9|F4BWF9_METSG	UPIMAPI	Pyridoxamine 5'-phosphate oxidase family protein			PF01243;
tr|F4BWF3|F4BWF3_METSG	UPIMAPI	Acetolactate synthase small subunit (AHAS) (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit)	cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	2.2.1.6	PF22629;PF10369;
tr|F4BWF0|F4BWF0_METSG	UPIMAPI	Lipoprotein			
tr|F4BWB5|F4BWB5_METSG	UPIMAPI	TPR-repeat protein			PF00932;PF13432;PF14559;PF13181;
tr|F4BWB4|F4BWB4_METSG	UPIMAPI	DUF3856 domain-containing protein	protein prenyltransferase activity [GO:0008318]		PF12968;PF01239;PF13414;PF13432;PF13181;
tr|F4BWB2|F4BWB2_METSG	UPIMAPI	TPR-repeat protein			PF13424;PF13432;PF13181;
tr|F4BWB0|F4BWB0_METSG	UPIMAPI	TPR-repeat protein			PF00515;PF13414;PF13432;PF13181;
tr|F4BWA3|F4BWA3_METSG	UPIMAPI	TPR-repeat protein			PF13414;PF13432;PF13181;
tr|F4BW88|F4BW88_METSG	UPIMAPI	PKD/Chitinase domain-containing protein			
tr|F4BW85|F4BW85_METSG	UPIMAPI	Peptidase C1A papain C-terminal domain-containing protein	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]		PF00112;
tr|F4BW67|F4BW67_METSG	UPIMAPI	NAD-dependent malic enzyme	malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]		PF00390;PF03949;
tr|F4BW56|F4BW56_METSG	UPIMAPI	inorganic diphosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase)	cytoplasm [GO:0005737]; inorganic diphosphate phosphatase activity [GO:0004427]; metal ion binding [GO:0046872]	3.6.1.1	PF01368;PF02833;
tr|F4BW47|F4BW47_METSG	UPIMAPI	Lipoprotein			
tr|F4BW31|F4BW31_METSG	UPIMAPI	Glutamine synthetase (EC 6.3.1.2)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]; metal ion binding [GO:0046872]; glutamine biosynthetic process [GO:0006542]	6.3.1.2	PF00120;PF03951;
tr|F4BVZ7|F4BVZ7_METSG	UPIMAPI	BadF/BadG/BcrA/BcrD ATPase family protein	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		PF01869;
tr|F4BVZ4|F4BVZ4_METSG	UPIMAPI	UPF0288 protein GX426_00310			
tr|F4BVZ3|F4BVZ3_METSG	UPIMAPI	Methyl coenzyme M reductase system, component A2	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; organic phosphonate catabolic process [GO:0019700]		PF00005;
tr|F4BVX5|F4BVX5_METSG	UPIMAPI	Acetoacetate decarboxylase family protein	lyase activity [GO:0016829]		PF06314;
tr|F4BVX4|F4BVX4_METSG	UPIMAPI	Short chain dehydrogenase	oxidoreductase activity [GO:0016491]		PF00106;
tr|F4BVV4|F4BVV4_METSG	UPIMAPI	Cache domain-containing protein			PF22309;
tr|F4BVS1|F4BVS1_METSG	UPIMAPI	PEGA domain-containing protein			
tr|F4BVR1|F4BVR1_METSG	UPIMAPI	CoB--CoM heterodisulfide reductase iron-sulfur subunit D (EC 1.8.98.1)	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; CoB--CoM heterodisulfide reductase activity [GO:0051912]	1.8.98.1	PF02754;PF13183;
tr|F4BVQ8|F4BVQ8_METSG	UPIMAPI	Extracellular solute-binding protein, family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|F4BVQ0|F4BVQ0_METSG	UPIMAPI	CARDB domain-containing protein			
tr|F4BVN7|F4BVN7_METSG	UPIMAPI	Pentapeptide repeat protein			PF04392;PF00805;PF13599;
tr|F4BVK8|F4BVK8_METSG	UPIMAPI	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]	1.1.1.95	PF00389;PF02826;PF19304;
tr|F4BVK7|F4BVK7_METSG	UPIMAPI	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	ATP binding [GO:0005524]; hydroxyethylthiazole kinase activity [GO:0004417]; magnesium ion binding [GO:0000287]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	2.7.1.50	PF02110;
tr|F4BVF3|F4BVF3_METSG	UPIMAPI	S-layer domain protein	membrane [GO:0016020]		
tr|F4BVE2|F4BVE2_METSG	UPIMAPI	ABC transporter ATP-binding protein	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		PF00005;
tr|F4BVE1|F4BVE1_METSG	UPIMAPI	SufBD domain protein	iron-sulfur cluster assembly [GO:0016226]		PF01458;
tr|F4BVC1|F4BVC1_METSG	UPIMAPI	DJ-1/PfpI family/rubredoxin fusion protein	cytoplasm [GO:0005737]; iron ion binding [GO:0005506]		PF01965;PF00301;
tr|F4BV79|F4BV79_METSG	UPIMAPI	AAA family ATPase, CDC48 subfamily	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		PF00004;PF17862;PF02933;PF02359;
tr|F4BV67|F4BV67_METSG	UPIMAPI	Formylmethanofuran dehydrogenase subunit A	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]		PF07969;
tr|F4BV66|F4BV66_METSG	UPIMAPI	formylmethanofuran dehydrogenase (EC 1.2.7.12)	formylmethanofuran dehydrogenase activity [GO:0018493]; transition metal ion binding [GO:0046914]; methanogenesis, from carbon dioxide [GO:0019386]	1.2.7.12	
tr|F4BV65|F4BV65_METSG	UPIMAPI	Formylmethanofuran dehydrogenase subunit D	molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]		PF01568;
tr|F4BV43|F4BV43_METSG	UPIMAPI	Periplasmic binding protein	polysaccharide catabolic process [GO:0000272]		PF01497;
tr|F4BV37|F4BV37_METSG	UPIMAPI	DUF2111 domain-containing protein			PF09884;
tr|F4BV36|F4BV36_METSG	UPIMAPI	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; argininosuccinate metabolic process [GO:0000053]; L-arginine biosynthetic process [GO:0006526]; urea cycle [GO:0000050]	6.3.4.5	PF20979;PF00764;
tr|F4BV07|F4BV07_METSG	UPIMAPI	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (ADH synthase) (ADHS) (ADTH synthase) (EC 2.2.1.10)	fructose-bisphosphate aldolase activity [GO:0004332]; hydro-lyase activity [GO:0016836]; transketolase or transaldolase activity [GO:0016744]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]	2.2.1.10	PF01791;
tr|F4BUZ5|F4BUZ5_METSG	UPIMAPI	Glutamate dehydrogenase	glutamate dehydrogenase (NAD+) activity [GO:0004352]; nucleotide binding [GO:0000166]; glutamate catabolic process [GO:0006538]		PF00208;PF02812;
tr|F4BUY6|F4BUY6_METSG	UPIMAPI	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	5.3.1.1	PF00121;
tr|F4BUX5|F4BUX5_METSG	UPIMAPI	Alpha/beta fold hydrolase	transferase activity [GO:0016740]		PF06500;
tr|F4BUV9|F4BUV9_METSG	UPIMAPI	formylmethanofuran dehydrogenase subunit B (EC 1.2.7.12)	membrane [GO:0016020]; formylmethanofuran dehydrogenase activity [GO:0018493]; NADH dehydrogenase activity [GO:0003954]; methanogenesis, from carbon dioxide [GO:0019386]; respiratory electron transport chain [GO:0022904]	1.2.7.12	
tr|F4BUU5|F4BUU5_METSG	UPIMAPI	Papain family cysteine protease, putative	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]		PF00112;
tr|F4BUT9|F4BUT9_METSG	UPIMAPI	PAC2 family protein			PF09754;
tr|F4BUT5|F4BUT5_METSG	UPIMAPI	Large ribosomal subunit protein eL8	cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ribonuclease P activity [GO:0004526]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; tRNA 5'-leader removal [GO:0001682]		PF01248;
tr|F4BUS8|F4BUS8_METSG	UPIMAPI	Thermosome subunit gamma	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00118;
tr|F4BUS0|F4BUS0_METSG	UPIMAPI	PfkB domain protein	kinase activity [GO:0016301]		PF00294;
tr|F4BUP7|F4BUP7_METSG	UPIMAPI	Hydantoinase/oxoprolinase	cytosol [GO:0005829]; 5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; glutathione metabolic process [GO:0006749]		PF05378;PF01968;
tr|F4BUN7|F4BUN7_METSG	UPIMAPI	Nitroreductase	oxidoreductase activity [GO:0016491]		
tr|F4BUN1|F4BUN1_METSG	UPIMAPI	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]	6.3.5.3	PF00586;PF02769;PF18072;
tr|F4BUN0|F4BUN0_METSG	UPIMAPI	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]	3.5.1.2; 6.3.5.3	PF13507;
tr|F4BUJ8|F4BUJ8_METSG	UPIMAPI	Universal stress protein			PF00582;
tr|F4BUJ6|F4BUJ6_METSG	UPIMAPI	Threonine synthase (EC 4.2.3.1)	threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088]	4.2.3.1	PF00291;PF14821;
tr|F4BUI5|F4BUI5_METSG	UPIMAPI	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	4.2.1.11	PF00113;PF03952;
tr|F4BUI4|F4BUI4_METSG	UPIMAPI	DUF5611 domain-containing protein			PF18446;
tr|F4BUI2|F4BUI2_METSG	UPIMAPI	TCP-1/cpn60 chaperonin family protein	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00118;
tr|F4BUI1|F4BUI1_METSG	UPIMAPI	Lrp/AsnC family transcriptional regulator			
tr|F4BUG1|F4BUG1_METSG	UPIMAPI	Glutamine synthetase	glutamine synthetase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]		PF00120;PF03951;
tr|F4BUE9|F4BUE9_METSG	UPIMAPI	LamG domain-containing protein			PF13385;
tr|F4BUB7|F4BUB7_METSG	UPIMAPI	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase (EC 6.3.4.23) (5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate--formate ligase)	ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; magnesium ion binding [GO:0000287]; 'de novo' IMP biosynthetic process [GO:0006189]	6.3.4.23	PF06849;PF06973;
tr|F4BUA8|F4BUA8_METSG	UPIMAPI	DUF2193 domain-containing protein			PF09959;
tr|F4BUA1|F4BUA1_METSG	UPIMAPI	Translation initiation factor 2 subunit gamma (EC 3.6.5.3) (aIF2-gamma) (eIF-2-gamma)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]; tRNA binding [GO:0000049]; formation of translation preinitiation complex [GO:0001731]	3.6.5.3	PF09173;PF00009;
tr|F4BU99|F4BU99_METSG	UPIMAPI	DNA-directed RNA polymerase subunit Rpo7 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit E)	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]; DNA-templated transcription initiation [GO:0006352]	2.7.7.6	PF00575;PF03876;
tr|F4BU98|F4BU98_METSG	UPIMAPI	Transcription elongation factor Spt4	translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]; regulation of DNA-templated transcription [GO:0006355]		PF06093;
tr|F4BU96|F4BU96_METSG	UPIMAPI	Small ribosomal subunit protein eS24	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		PF01282;
tr|F4BU89|F4BU89_METSG	UPIMAPI	DNA primase DnaG (EC 2.7.7.101)	cytoplasm [GO:0005737]; DNA-directed RNA polymerase complex [GO:0000428]; exosome (RNase complex) [GO:0000178]; primosome complex [GO:1990077]; DNA primase activity [GO:0003896]; poly(A) binding [GO:0008143]	2.7.7.101	PF13662;
tr|F4BU84|F4BU84_METSG	UPIMAPI	DUF1743 domain-containing protein			PF22641;
tr|F4BU78|F4BU78_METSG	UPIMAPI	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]	6.3.3.1	PF00586;PF02769;
tr|F4BU76|F4BU76_METSG	UPIMAPI	Elongation factor 2 (EF-2)	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		PF00679;PF14492;PF03764;PF00009;PF03144;
tr|F4BU75|F4BU75_METSG	UPIMAPI	Elongation factor 1-alpha (EF-1-alpha) (Elongation factor Tu) (EF-Tu)	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		PF22594;PF00009;PF03144;
tr|F4BU62|F4BU62_METSG	UPIMAPI	Lipoprotein			PF20316;
tr|F4BU58|F4BU58_METSG	UPIMAPI	ABC transporter substrate-binding protein	polysaccharide catabolic process [GO:0000272]		PF01497;
tr|F4BU44|F4BU44_METSG	UPIMAPI	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; L-arginine biosynthetic process [GO:0006526]	2.6.1.11	PF00202;
tr|F4BU06|F4BU06_METSG	UPIMAPI	Cna protein B-type domain protein	extracellular region [GO:0005576]		PF17210;
tr|F4BTZ6|F4BTZ6_METSG	UPIMAPI	Fasciclin domain protein			PF02469;
tr|F4BTY9|F4BTY9_METSG	UPIMAPI	Lipoprotein			
tr|F4BTY7|F4BTY7_METSG	UPIMAPI	Molybdopterin biosynthesis protein MoeB	metal ion binding [GO:0046872]; sulfur dioxygenase activity [GO:0050313]; glutathione metabolic process [GO:0006749]; hydrogen sulfide metabolic process [GO:0070813]; proton transmembrane transport [GO:1902600]		PF00753;PF00581;
tr|F4BTS3|F4BTS3_METSG	UPIMAPI	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	cytoplasm [GO:0005737]; RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]; protein refolding [GO:0042026]	5.2.1.8	PF00254;
tr|F4BTR3|F4BTR3_METSG	UPIMAPI	Exosome complex component Rrp42	cytoplasmic exosome (RNase complex) [GO:0000177]; exonuclease activity [GO:0004527]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; rRNA catabolic process [GO:0016075]		PF01138;PF03725;
tr|F4BTR2|F4BTR2_METSG	UPIMAPI	Exosome complex component Rrp41 (EC 3.1.13.-)	cytoplasmic exosome (RNase complex) [GO:0000177]; 3'-5'-RNA exonuclease activity [GO:0000175]; RNA binding [GO:0003723]; gene expression [GO:0010467]; rRNA catabolic process [GO:0016075]	3.1.13.-	PF01138;PF03725;
tr|F4BTQ0|F4BTQ0_METSG	UPIMAPI	Cupin domain protein			PF07883;
tr|F4BTP9|F4BTP9_METSG	UPIMAPI	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	cytosol [GO:0005829]; ribose-5-phosphate isomerase activity [GO:0004751]; D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	5.3.1.6	PF06026;
tr|F4BTP1|F4BTP1_METSG	UPIMAPI	Exosome complex component Csl4	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]		PF14382;
tr|F4BTL7|F4BTL7_METSG	UPIMAPI	MBL fold metallo-hydrolase	linear primary-alkylsulfatase activity [GO:0018741]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; dodecyl sulfate metabolic process [GO:0018909]		PF14864;PF14863;PF00753;
